house age,distance_to_mrt,num_convenience_stores,price_per_unit_area,num_of_rooms,pet_friendly
19.2,461.1016,5.0,32.9,4,Yes
16.6,323.6912,6.0,51.0,5,No
13.9,289.3248,5.0,44.5,3,No
3.4,56.47425,7.0,54.4,5,No
17.5,395.6747,5.0,24.5,1,No
12.6,383.2805,7.0,42.5,4,No
26.4,335.5273,6.0,38.1,3,No
18.2,2179.59,3.0,21.8,1,No
12.5,1144.436,4.0,34.1,2,Yes
34.9,567.0349,4.0,28.5,2,No
33.2,121.7262,10.0,46.1,3,No
2.5,156.2442,4.0,36.9,3,No
16.5,2288.011,3.0,23.2,2,Yes
20.0,1626.083,3.0,29.4,1,Yes
16.2,289.3248,5.0,55.0,4,No
14.4,169.9803,1.0,50.2,3,Yes
16.4,289.3248,5.0,53.0,3,Yes
16.4,1643.499,2.0,24.7,2,Yes
21.3,537.7971,4.0,42.2,1,No
35.4,318.5292,9.0,78.0,6,No
8.3,104.8101,5.0,42.8,3,No
3.7,577.9615,6.0,41.6,1,No
15.6,1756.411,2.0,27.3,2,Yes
13.3,250.631,7.0,42.0,4,No
15.6,752.7669,2.0,37.5,3,No
7.1,379.5575,10.0,49.8,4,No
34.6,272.6783,5.0,26.9,1,No
16.9,964.7496,4.0,37.7,3,Yes
12.9,187.4823,1.0,33.1,1,No
12.4,1712.632,2.0,31.3,2,Yes
36.6,488.8193,8.0,38.1,1,No
4.1,56.47425,7.0,62.1,6,No
3.5,757.3377,3.0,36.7,1,No
15.9,1497.713,3.0,23.6,2,Yes
39.8,617.7134,2.0,39.6,2,No
7.8,104.8101,5.0,38.4,4,No
30.0,1013.341,5.0,22.8,1,Yes
27.3,337.6016,6.0,36.5,4,No
5.1,1867.233,2.0,35.6,4,Yes
31.3,600.8604,5.0,30.9,1,No
31.5,258.186,9.0,36.3,4,Yes
1.7,329.9747,5.0,50.4,6,No
13.0,750.0704,2.0,37.0,3,No
5.7,90.45606,9.0,53.5,6,No
33.5,563.2854,8.0,46.6,4,No
13.2,1712.632,2.0,30.8,1,Yes
17.4,6488.021,1.0,11.2,1,Yes
4.6,259.6607,6.0,53.7,6,No
7.8,104.8101,5.0,47.0,3,Yes
13.2,492.2313,5.0,42.3,3,No
4.0,2180.245,3.0,28.6,1,Yes
18.4,2674.961,3.0,25.7,1,Yes
4.1,2147.376,3.0,31.3,3,Yes
12.2,1360.139,1.0,30.1,1,No
3.8,383.8624,5.0,60.7,4,No
10.3,211.4473,1.0,45.3,1,No
0.0,338.9679,9.0,44.9,3,No
1.1,193.5845,6.0,45.1,4,No
32.9,87.30222,10.0,47.1,3,No
41.4,281.205,8.0,63.3,6,No
17.1,967.4,4.0,40.0,4,Yes
32.3,109.9455,10.0,48.0,6,No
35.3,614.1394,7.0,33.1,2,No
17.3,2261.432,4.0,29.5,2,Yes
14.2,1801.544,1.0,24.8,1,Yes
15.0,1828.319,2.0,20.9,2,Yes
18.2,350.8515,1.0,43.1,4,No
20.2,2185.128,3.0,22.8,1,Yes
15.9,289.3248,5.0,42.1,3,No
4.1,312.8963,5.0,51.7,6,No
33.9,157.6052,7.0,41.5,3,Yes
0.0,274.0144,1.0,52.2,5,No
5.4,390.5684,5.0,49.5,4,No
14.7,1717.193,2.0,30.5,2,Yes
3.9,49.66105,8.0,56.8,5,No
37.3,587.8877,8.0,37.4,3,No
0.0,292.9978,6.0,69.7,5,No
14.1,289.3248,5.0,53.3,6,No
8.0,132.5469,9.0,47.3,4,No
29.1,506.1144,4.0,40.3,1,Yes
18.3,82.88643,10.0,46.6,1,No
16.2,2103.555,3.0,25.6,1,Yes
10.4,2251.938,4.0,27.3,2,No
40.9,122.3619,8.0,67.7,4,No
32.8,377.8302,9.0,38.6,4,No
6.2,1939.749,1.0,31.3,4,Yes
42.7,443.802,6.0,35.3,1,No
16.9,967.4,4.0,40.3,1,No
21.2,512.5487,4.0,42.5,4,No
37.1,918.6357,1.0,31.9,2,Yes
12.7,170.1289,1.0,37.3,1,Yes
26.8,482.7581,5.0,35.5,1,No
7.6,2175.03,3.0,27.7,1,Yes
12.7,187.4823,1.0,28.5,2,No
16.4,289.3248,5.0,41.2,3,No
23.0,130.9945,6.0,37.2,1,No
1.9,372.1386,7.0,40.5,1,No
5.6,90.45606,9.0,50.0,3,Yes
18.8,390.9696,7.0,40.6,1,No
8.1,104.8101,5.0,52.5,6,No
6.5,90.45606,9.0,63.9,4,No
